Stimuli_ID	Vocalist_ID	Technique	Artist	Song	Lyrics	Duration	Tempo	Time_signature	Original_Corresponding_Excerpt	WAV_Path	Credits	Session_date_YMD	logMel_Path	Spectral_Centroid	Gender	Age_at_recording	band_url	annotations
VOX-0001	K	Clean	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""	5387.03	105	4/4	EXCE-093	static/metalvox/VOX-0001.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-001.png	2101.425905	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0002	K	Clean_FLAT	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""	4609.16	105	4/4	EXCE-093	static/metalvox/VOX-0002.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-002.png	2147.859097	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0003	K	Screaming_NV	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""	4226.03	105	4/4	EXCE-093	static/metalvox/VOX-0003.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-003.png	2672.138674	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0004	K	Screaming_V	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""	4469.84	105	4/4	EXCE-093	static/metalvox/VOX-0004.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-004.png	2806.479022	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0005	K	Growling_NV	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""	4040.27	105	4/4	EXCE-093	static/metalvox/VOX-0005.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-005.png	2718.948334	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0006	K	Growling_V	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""	4957.46	105	4/4	EXCE-093	static/metalvox/VOX-0006.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-006.png	2787.189617	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0007	K	Clean	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""	3680.36	135	4/4	EXCE-056	static/metalvox/VOX-0007.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-007.png	2852.672932	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0008	K	Clean_FLAT	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""	3332.06	135	4/4	EXCE-056	static/metalvox/VOX-0008.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-008.png	2675.259277	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0009	K	Screaming_NV	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""	3285.62	135	4/4	EXCE-056	static/metalvox/VOX-0009.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-009.png	3188.544591	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0010	K	Screaming_V	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""	3982.22	135	4/4	EXCE-056	static/metalvox/VOX-0010.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-010.png	3030.354823	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0011	K	Growling_NV	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""	3633.92	135	4/4	EXCE-056	static/metalvox/VOX-0011.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-011.png	3166.719413	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0012	K	Growling_V	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""	3970.61	135	4/4	EXCE-056	static/metalvox/VOX-0012.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-012.png	2921.249484	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0013	K	Clean	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""	3877.73	110	4/4	EXCE-108	static/metalvox/VOX-0013.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-013.png	2045.045676	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0014	K	Clean_FLAT	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""	3529.43	110	4/4	EXCE-108	static/metalvox/VOX-0014.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-014.png	2353.042845	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0015	K	Screaming_NV	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""	3657.14	110	4/4	EXCE-108	static/metalvox/VOX-0015.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-015.png	2704.875544	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0016	K	Screaming_V	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""	3726.8	110	4/4	EXCE-108	static/metalvox/VOX-0016.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-016.png	2559.986384	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0017	K	Growling_NV	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""	3355.28	110	4/4	EXCE-108	static/metalvox/VOX-0017.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-017.png	2681.41878	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0018	K	Growling_V	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""	3691.97	110	4/4	EXCE-108	static/metalvox/VOX-0018.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-018.png	2780.290456	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0019	K	Clean	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""	3564.26	110	4/4	EXCE-124	static/metalvox/VOX-0019.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-019.png	2223.187387	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0020	K	Clean_FLAT	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""	3088.25	110	4/4	EXCE-124	static/metalvox/VOX-0020.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-020.png	2841.307998	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0021	K	Screaming_NV	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""	3123.08	110	4/4	EXCE-124	static/metalvox/VOX-0021.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-021.png	2754.92026	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0022	K	Screaming_V	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""	3413.33	110	4/4	EXCE-124	static/metalvox/VOX-0022.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-022.png	2801.91109	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0023	K	Growling_NV	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""	3332.06	110	4/4	EXCE-124	static/metalvox/VOX-0023.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-023.png	2682.572599	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0024	K	Growling_V	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""	3587.48	110	4/4	EXCE-124	static/metalvox/VOX-0024.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-024.png	2633.881376	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0025	K	Clean	Architects	A Portrait for the Deceased	"""Then come and drown with me"""	3680.36	161	4/4	EXCE-064	static/metalvox/VOX-0025.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-025.png	2277.714728	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0026	K	Clean_FLAT	Architects	A Portrait for the Deceased	"""Then come and drown with me"""	3413.33	161	4/4	EXCE-064	static/metalvox/VOX-0026.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-026.png	2230.1585	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0027	K	Screaming_NV	Architects	A Portrait for the Deceased	"""Then come and drown with me"""	2798	161	4/4	EXCE-064	static/metalvox/VOX-0027.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-027.png	2842.80524	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0028	K	Screaming_V	Architects	A Portrait for the Deceased	"""Then come and drown with me"""	3215.96	161	4/4	EXCE-064	static/metalvox/VOX-0028.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-028.png	2826.083259	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0029	K	Growling_NV	Architects	A Portrait for the Deceased	"""Then come and drown with me"""	3227.57	161	4/4	EXCE-064	static/metalvox/VOX-0029.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-029.png	2629.890349	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0030	K	Growling_V	Architects	A Portrait for the Deceased	"""Then come and drown with me"""	3285.62	161	4/4	EXCE-064	static/metalvox/VOX-0030.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-030.png	2767.788003	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0031	K	Clean	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	3041.81	180	4/4	EXCE-155	static/metalvox/VOX-0031.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-031.png	2665.026144	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0032	K	Clean_FLAT	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	2786.39	180	4/4	EXCE-155	static/metalvox/VOX-0032.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-032.png	3268.449237	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0033	K	Screaming_NV	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	2530.98	180	4/4	EXCE-155	static/metalvox/VOX-0033.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-033.png	3013.960305	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0034	K	Screaming_V	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	2879.27	180	4/4	EXCE-155	static/metalvox/VOX-0034.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-034.png	2814.053652	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0035	K	Growling_NV	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	2867.66	180	4/4	EXCE-155	static/metalvox/VOX-0035.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-035.png	2863.46516	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0036	K	Growling_V	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	2937.32	180	4/4	EXCE-155	static/metalvox/VOX-0036.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-036.png	2909.96405	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0037	K	Clean	Northlane	Metamorphosis	"""And I will overcome this suffering"""	4365.35	140	4/4	EXCE-179	static/metalvox/VOX-0037.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-037.png	2101.79403	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0038	K	Clean_FLAT	Northlane	Metamorphosis	"""And I will overcome this suffering"""	3970.61	140	4/4	EXCE-179	static/metalvox/VOX-0038.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-038.png	2458.425448	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0039	K	Screaming_NV	Northlane	Metamorphosis	"""And I will overcome this suffering"""	3866.12	140	4/4	EXCE-179	static/metalvox/VOX-0039.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-039.png	2638.210583	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
VOX-0040	K	Screaming_V	Northlane	Metamorphosis	"""And I will overcome this suffering"""	3900.95	140	4/4	EXCE-179	static/metalvox/VOX-0040.wav	Geoffrey Uhal	20250529	static/metalvox/logMel/VOX-040.png	2728.366156	Male		https://open.spotify.com/artist/0JjCIXB0MY61IlbFP3qqEQ?si=VKzY4Sg6QYa4x-BiX0kAGg	
