Stimuli_ID	Vocalist_ID	Technique	Artist	Song	Lyrics	Duration	Tempo	Time_signature	Original_Corresponding_Excerpt	WAV_Path	Credits	Session_date_YMD	logMel_Path	Spectral_Centroid	Gender	Age_at_recording	band_url	annotations
STIM-001	A	Clean	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""	5677.28	105	4/4	EXCE-093	static/triple_twelve/STIM-001.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-001.png	2921.069077	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-002	A	Clean_FLAT	Trivium	The Deceived - Flavus	"""Tell that the promised have been failed"""	4643.99	105	4/4	EXCE-093	static/triple_twelve/STIM-002.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-002.png	2585.413271	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-003	A	Clean	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""	3796.46	135	4/4	EXCE-056	static/triple_twelve/STIM-003.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-003.png	3218.661348	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-004	A	Clean_FLAT	Avenged Sevenfold	Higher	"""Meet you in the stars tonight"""	3413.33	135	4/4	EXCE-056	static/triple_twelve/STIM-004.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-004.png	3174.267017	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-005	A	Clean	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""	3819.68	110	4/4	EXCE-108	static/triple_twelve/STIM-005.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-005.png	2885.758532	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-006	A	Clean_FLAT	Killswitch Engage	Still Beats Your Name	"""Will I live another day?"""	3378.5	110	4/4	EXCE-108	static/triple_twelve/STIM-006.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-006.png	2316.613192	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-007	A	Clean	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""	3773.24	110	4/4	EXCE-124	static/triple_twelve/STIM-007.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-007.png	2618.763324	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-008	A	Clean_FLAT	Metallica	Crown of Barbed Wire	"""This rusted empire I own"""	3250.79	110	4/4	EXCE-124	static/triple_twelve/STIM-008.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-008.png	2953.151704	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-009	A	Screaming_NV	Architects	A Portrait for the Deceased	"""Then come and drown with me"""	3401.72	161	4/4	EXCE-064	static/triple_twelve/STIM-009.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-009.png	2761.719461	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-010	A	Screaming_V	Architects	A Portrait for the Deceased	"""Then come and drown with me"""	3413.33	161	4/4	EXCE-064	static/triple_twelve/STIM-010.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-010.png	2536.993657	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-011	A	Screaming_NV	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	2774.78	180	4/4	EXCE-155	static/triple_twelve/STIM-011.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-011.png	2652.384126	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-012	A	Screaming_V	August Burns Red	The Reflective Property	"""A brief wind is swept through"""	3436.55	180	4/4	EXCE-155	static/triple_twelve/STIM-012.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-012.png	2830.529638	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-013	A	Screaming_NV	Northlane	Metamorphosis	"""And I will overcome this suffering"""	4702.04	140	4/4	EXCE-179	static/triple_twelve/STIM-013.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-013.png	2549.941464	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-014	A	Screaming_V	Northlane	Metamorphosis	"""And I will overcome this suffering"""	4458.23	140	4/4	EXCE-179	static/triple_twelve/STIM-014.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-014.png	2792.433471	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-015	A	Screaming_NV	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""	2101.41	115	4/4	EXCE-087	static/triple_twelve/STIM-015.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-015.png	3197.40282	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-016	A	Screaming_V	Chelsea Grin	Behind A Veil Of Lies	"""I can't seek help from angels"""	2472.93	115	4/4	EXCE-087	static/triple_twelve/STIM-016.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-016.png	3199.540494	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-017	A	Growling_NV	Whitechapel	The Night Remains	"""Rid yourself and never return"""	3076.64	155	4/4	EXCE-141	static/triple_twelve/STIM-017.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-017.png	2321.996469	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-018	A	Growling_V	Whitechapel	The Night Remains	"""Rid yourself and never return"""	3053.42	155	4/4	EXCE-141	static/triple_twelve/STIM-018.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-018.png	2366.642707	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-019	A	Growling_NV	Morbid Angel	God Of Our Own Divinity	"""Break apart this rusty chains"""	2380.05	140	3/4	EXCE-042	static/triple_twelve/STIM-019.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-019.png	3260.670686	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-020	A	Growling_V	Morbid Angel	God Of Our Own Divinity	"""Break apart this rusty chains"""	2554.2	140	3/4	EXCE-042	static/triple_twelve/STIM-020.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-020.png	3384.440489	Male		https://fadelessband.wixsite.com/fadelessband	
